[2026-01-17 14:41:43] info: 	z2m: Logging to console, file (filename: log.log)
[2026-01-17 14:41:44] info: 	z2m: Starting Zigbee2MQTT version 2.7.2 (commit #3a49c95786c2fba749e7696aab4cc38e467d2c4c
)
[2026-01-17 14:41:44] info: 	z2m: Starting zigbee-herdsman (8.0.1)
[2026-01-17 14:41:44] info: 	zh:ember: Using default stack config.
[2026-01-17 14:41:44] info: 	zh:ember: ======== Ember Adapter Starting ========
[2026-01-17 14:41:44] info: 	zh:ember:ezsp: ======== EZSP starting ========
[2026-01-17 14:41:44] info: 	zh:ember:uart:ash: ======== ASH Adapter reset ========
[2026-01-17 14:41:44] info: 	zh:ember:uart:ash: Serial port opened
[2026-01-17 14:41:44] info: 	zh:ember:uart:ash: ======== ASH starting ========
[2026-01-17 14:41:45] info: 	zh:ember:uart:ash: ======== ASH connected ========
[2026-01-17 14:41:45] info: 	zh:ember:uart:ash: ======== ASH started ========
[2026-01-17 14:41:45] info: 	zh:ember:ezsp: ======== EZSP started ========
[2026-01-17 14:41:45] info: 	zh:ember: Adapter EZSP protocol version (13) lower than Host. Switched.
[2026-01-17 14:41:45] info: 	zh:ember: Adapter version info: {"ezsp":13,"revision":"7.4.4 [GA]","build":0,"major":7,"minor":4,"patch":4,"special":0,"type":170}
[2026-01-17 14:41:45] info: 	zh:ember: [STACK STATUS] Network up.
[2026-01-17 14:41:45] info: 	zh:ember: [INIT TC] Adapter network matches config.
[2026-01-17 14:41:45] info: 	zh:ember: [CONCENTRATOR] Started source route discovery. 1248ms until next broadcast.
[2026-01-17 14:41:45] info: 	z2m: zigbee-herdsman started (resumed)
[2026-01-17 14:41:45] info: 	z2m: Coordinator firmware version: '{"meta":{"build":0,"ezsp":13,"major":7,"minor":4,"patch":4,"revision":"7.4.4 [GA]","special":0,"type":170},"type":"EmberZNet"}'
[2026-01-17 14:41:45] info: 	z2m: Currently 0 devices are joined.
[2026-01-17 14:41:45] info: 	z2m: Connecting to MQTT server at mqtt://mosquitto:1883
[2026-01-17 14:41:46] error: 	z2m: MQTT failed to connect, exiting... (getaddrinfo ENOTFOUND mosquitto)
[2026-01-17 14:41:46] info: 	z2m: Stopping zigbee-herdsman...
[2026-01-17 14:41:46] info: 	zh:controller: Wrote coordinator backup to '/app/data/coordinator_backup.json'
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash: ASH COUNTERS since last clear:
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash:   Total frames: RX=48, TX=92
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash:   Cancelled   : RX=0, TX=0
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash:   DATA frames : RX=46, TX=44
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash:   DATA bytes  : RX=466, TX=473
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash:   Retry frames: RX=0, TX=0
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash:   ACK frames  : RX=0, TX=47
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash:   NAK frames  : RX=1, TX=0
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash:   nRdy frames : RX=0, TX=0
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash:   CRC errors      : RX=0
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash:   Comm errors     : RX=0
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash:   Length < minimum: RX=0
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash:   Length > maximum: RX=0
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash:   Bad controls    : RX=0
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash:   Bad lengths     : RX=0
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash:   Bad ACK numbers : RX=0
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash:   Out of buffers  : RX=0
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash:   Retry dupes     : RX=0
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash:   Out of sequence : RX=0
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash:   ACK timeouts    : RX=0
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash: Port closed, error=null
[2026-01-17 14:41:46] info: 	zh:ember:uart:ash: ======== ASH stopped ========
[2026-01-17 14:41:46] info: 	zh:ember:ezsp: ======== EZSP stopped ========
[2026-01-17 14:41:46] info: 	zh:ember: ======== Ember Adapter Stopped ========
[2026-01-17 14:41:46] info: 	z2m: Stopped zigbee-herdsman
